Attachments,Link Count,Word Count,Uppercase Count,Exclamation Count,Question Count,Dollar Count,Punctuation Count,HTML Tags Count,Spam Indicator
0,10,88,30,5,2,1,1,1,1
3,7,161,99,1,0,1,8,1,0
0,6,183,24,5,0,1,6,5,0
1,3,38,31,4,3,1,13,2,1
0,3,136,20,5,2,0,0,1,1
1,2,286,134,2,3,0,0,3,1
2,9,197,157,0,1,0,5,5,1
2,4,159,21,2,0,2,9,1,1
0,2,28,23,4,0,0,11,5,1
2,2,283,52,4,1,2,4,3,1
1,0,267,219,3,0,2,4,1,0
2,9,220,32,3,0,1,2,0,1
2,0,122,8,3,2,0,12,1,1
3,10,104,83,3,2,0,5,0,0
0,6,298,59,0,0,1,12,5,0
0,2,70,36,1,0,2,2,5,1
0,3,73,37,0,1,1,10,1,0
2,4,86,23,4,1,1,7,4,1
2,6,35,11,3,2,1,0,2,0
1,1,290,93,2,1,0,15,1,0
0,9,198,115,4,2,2,13,3,1
0,0,129,66,2,3,0,0,1,1
2,4,158,105,0,3,0,14,5,0
2,10,285,59,3,3,0,2,4,0
0,7,13,6,3,1,1,15,1,1
0,9,17,5,5,1,0,13,4,1
2,8,110,54,1,3,2,3,1,1
3,2,123,114,2,1,2,10,1,1
3,8,125,89,1,2,0,12,0,1
0,4,272,268,5,0,1,11,5,0
0,4,44,5,3,3,0,6,2,0
3,8,51,1,1,0,1,0,0,1
1,4,161,115,4,0,2,0,0,1
0,9,125,26,2,0,2,3,0,1
3,0,127,64,3,0,2,5,5,1
0,4,15,15,5,3,1,1,4,1
3,3,199,6,2,,2,13,2,0
2,3,130,25,5,3,1,11,3,1
3,2,109,105,4,0,2,4,0,0
3,5,139,93,3,2,2,10,0,0
1,5,102,8,2,3,2,5,3,0
1,9,38,2,3,3,0,15,4,0
1,3,112,58,1,2,0,5,0,0
2,9,186,126,5,0,0,5,3,1
3,8,173,29,1,2,0,0,5,0
1,4,104,25,0,3,0,12,4,1
1,10,30,27,2,3,1,11,2,0
2,7,24,1,3,2,0,1,3,1
2,7,202,175,0,2,1,2,2,0
2,7,298,288,4,3,2,2,5,1
3,4,300,76,0,1,0,4,2,1
3,6,99,31,5,3,0,1,3,0
3,5,88,22,0,0,2,13,0,1
0,3,154,113,5,3,0,12,1,0
1,4,205,153,3,3,1,0,0,0
1,2,174,169,0,0,1,1,5,0
2,10,221,10,5,0,1,10,1,0
1,6,18,8,3,0,2,1,0,1
3,1,158,69,4,2,1,11,2,0
0,0,25,24,1,0,0,9,3,1
1,1,152,139,2,3,2,10,4,0
1,10,156,29,2,1,1,9,4,1
0,1,114,83,5,0,0,4,4,0
3,8,280,205,2,0,0,9,2,1
2,2,142,27,3,0,0,5,2,0
1,6,284,120,5,1,1,7,4,1
0,8,237,134,4,0,2,10,4,1
3,9,134,6,0,3,2,12,0,0
2,2,153,59,3,3,1,15,5,0
1,7,195,86,2,3,0,5,2,0
0,8,205,182,2,2,1,15,3,1
1,2,94,26,2,2,0,14,2,0
1,7,156,67,3,0,0,13,1,0
3,0,49,14,1,0,2,4,4,1
0,0,79,50,3,0,0,2,2,1
1,6,23,10,0,2,1,6,1,
3,8,70,54,5,0,0,3,4,0
2,10,193,27,1,2,0,8,5,1
1,1,75,10,1,1,2,14,4,0
2,8,213,71,4,1,1,0,4,1
3,1,42,27,2,0,0,13,1,0
0,1,274,155,5,2,1,7,,1
0,0,62,0,3,0,0,4,0,1
2,2,61,6,5,1,0,14,1,0
1,2,177,122,2,2,1,8,3,0
0,9,285,81,3,3,2,3,2,0
2,9,164,151,5,0,2,0,3,1
1,3,173,142,2,2,2,12,2,1
3,10,15,0,1,2,2,14,5,0
3,8,207,92,5,0,0,0,0,0
0,5,293,88,2,1,1,7,3,1
0,9,169,125,2,0,2,12,5,0
1,3,21,4,2,2,2,11,3,0
0,1,93,85,2,2,1,14,1,1
3,2,276,75,5,1,1,14,5,0
2,6,208,140,5,2,1,1,4,1
1,5,219,110,1,2,1,9,2,0
2,2,17,7,1,2,0,8,1,1
3,6,102,58,2,2,1,13,4,1
1,0,119,42,4,3,1,3,2,0
2,0,70,25,3,1,0,4,3,0
3,10,275,254,4,0,0,7,2,1
3,8,222,166,3,2,2,13,5,1
3,6,110,20,4,0,0,12,5,0
1,10,91,40,3,0,0,4,0,1
1,4,73,62,4,0,2,14,1,0
3,6,170,126,1,0,0,2,1,0
0,5,94,76,2,2,1,2,3,0
2,10,208,46,2,2,2,4,5,1
2,8,113,29,2,2,2,15,2,0
0,2,224,6,1,2,1,12,1,0
2,4,262,184,1,2,1,0,5,0
1,6,182,118,1,1,1,13,3,1
3,7,80,32,2,3,0,6,1,1
3,1,81,20,3,1,0,7,3,1
1,1,253,26,1,2,1,11,1,0
2,0,68,46,5,1,0,9,2,1
3,5,104,100,0,1,1,10,5,0
0,3,230,78,4,3,1,15,1,0
0,10,115,68,2,1,1,6,2,0
1,8,195,89,0,2,0,1,2,0
1,2,124,72,4,3,1,10,3,0
3,10,52,50,1,0,0,8,2,1
2,9,161,56,3,3,0,10,3,1
0,9,50,26,0,2,0,14,5,1
3,9,139,54,0,1,0,15,2,1
0,0,53,52,2,1,1,2,2,0
3,5,222,118,3,0,2,2,2,1
3,6,233,147,3,1,0,10,5,0
2,7,74,59,5,3,2,0,0,1
1,2,105,67,0,1,0,15,4,1
2,4,156,34,0,2,2,9,3,0
1,3,170,13,2,1,0,3,3,1
1,4,121,105,1,1,2,9,4,0
3,5,223,40,0,2,2,4,3,1
0,3,263,32,5,3,2,2,3,1
3,8,296,198,2,3,1,9,1,1
0,6,50,44,0,2,1,3,0,0
3,3,60,26,0,3,2,10,3,0
3,0,82,52,3,0,0,4,3,0
2,9,212,170,5,1,1,4,1,1
0,10,186,61,1,2,1,15,2,0
2,10,204,74,2,3,0,13,1,0
0,4,94,49,1,2,0,5,1,1
0,8,75,32,3,0,0,4,2,1
2,5,103,60,0,3,1,6,3,1
3,10,159,27,4,1,2,10,1,0
0,5,84,54,4,0,2,4,3,0
1,2,292,19,4,3,1,1,5,0
3,5,176,51,1,2,1,5,1,1
1,9,148,141,1,2,0,2,2,0
0,9,261,173,0,2,0,1,0,0
3,0,233,196,2,0,0,7,3,0
1,0,196,7,2,0,1,6,0,1
2,0,83,79,0,3,0,3,2,1
3,5,48,9,2,1,1,7,4,1
0,7,233,42,5,1,2,8,2,1
1,1,282,61,0,2,1,11,4,0
0,2,39,14,3,1,0,1,1,1
3,9,27,26,1,1,1,12,2,0
1,7,165,123,2,1,1,5,4,1
1,7,285,180,5,1,0,13,1,1
3,6,251,1,2,2,0,1,0,0
0,6,213,3,1,3,0,13,4,1
2,2,122,13,4,2,0,3,0,1
0,10,106,23,2,0,2,7,4,0
0,4,222,48,3,1,0,2,4,0
1,7,181,119,3,2,2,14,1,1
1,1,41,29,0,1,2,13,0,1
0,3,233,134,2,2,2,10,5,0
1,0,166,73,4,2,1,8,2,0
2,9,19,16,4,2,1,15,3,1
0,5,95,74,5,2,1,3,5,0
1,1,133,113,5,1,2,5,0,0
2,1,39,39,4,3,0,8,2,1
3,1,157,97,4,3,1,0,5,0
3,2,108,99,1,2,2,12,0,0
2,8,157,150,2,1,2,6,2,0
1,2,11,9,4,1,1,5,5,0
2,10,18,5,0,1,1,12,4,1
1,8,212,191,2,1,0,10,0,0
2,1,202,152,0,1,1,11,4,0
2,7,287,51,5,2,1,13,2,1
0,4,140,129,4,0,1,13,3,1
0,7,145,32,5,3,2,2,2,0
3,3,265,26,4,2,2,6,0,1
3,0,160,156,5,0,1,10,3,0
0,4,224,148,1,3,0,1,2,0
2,9,232,49,0,2,2,5,5,0
0,9,178,68,2,1,2,8,1,1
3,6,253,15,3,3,0,8,4,0
3,3,294,214,5,0,2,15,5,0
1,1,241,111,4,1,0,0,4,0
0,7,140,135,2,2,2,7,0,1
3,0,251,157,3,1,0,5,4,1
2,0,261,52,5,3,2,3,1,0
3,10,192,129,3,1,1,12,0,0
2,4,278,213,3,0,0,10,5,1
2,10,38,25,0,2,2,1,5,0
0,4,201,179,1,0,1,13,1,1
1,8,55,50,0,2,0,9,1,0
3,9,212,0,0,3,0,13,0,0
3,0,70,58,2,0,0,9,4,1
0,2,118,52,2,2,2,6,0,1
1,2,133,83,1,3,1,15,2,0
3,8,289,97,3,0,0,15,1,0
1,9,187,93,1,3,1,9,0,1
3,7,31,28,5,0,0,1,4,0
3,6,64,47,3,1,1,12,3,1
1,5,78,45,5,2,2,13,5,0
2,9,65,38,2,3,2,13,5,0
1,9,164,24,5,3,0,3,2,0
2,4,69,14,5,3,0,9,4,0
0,5,103,36,4,3,1,0,4,1
3,7,163,19,5,2,2,14,0,0
2,7,256,66,4,2,1,1,4,0
0,3,102,91,2,1,0,2,1,0
3,10,89,27,0,3,2,3,5,0
3,5,288,28,3,2,0,14,5,0
3,0,45,20,5,1,1,0,2,1
2,1,104,46,2,1,1,1,0,1
0,1,212,11,5,3,1,9,3,0
3,5,256,38,1,0,2,5,2,1
0,1,81,31,1,2,1,10,0,0
2,3,146,2,2,0,1,11,3,0
3,4,96,71,1,2,0,11,0,1
1,3,290,218,3,2,2,11,3,1
2,8,216,1,2,1,0,6,4,0
0,5,48,14,2,2,2,12,2,1
1,3,19,18,1,2,1,7,0,0
2,3,18,17,2,3,2,12,5,0
0,10,146,74,3,0,2,4,4,0
1,7,220,76,4,0,1,1,4,0
2,2,183,145,5,2,0,11,1,1
0,6,224,141,3,3,2,4,0,0
3,10,59,37,1,1,0,4,2,0
0,3,284,41,1,2,1,3,2,1
3,10,232,60,5,3,1,13,1,0
1,4,43,25,2,3,2,4,0,0
3,10,47,4,2,2,0,7,0,1
0,8,189,172,5,0,2,13,4,0
0,4,273,199,0,0,1,11,3,0
1,5,56,33,1,1,1,7,0,1
3,9,266,56,1,1,1,7,3,1
0,8,53,4,2,2,1,15,0,1
0,9,286,263,5,2,1,11,3,1
1,10,30,29,4,3,2,2,2,1
3,4,247,220,5,3,1,2,3,0
1,3,262,131,3,3,0,1,3,0
0,4,66,39,1,3,0,5,1,0
2,8,96,33,3,3,2,12,0,1
3,9,90,15,0,0,1,1,3,1
2,0,89,62,0,0,0,15,1,1
2,8,238,124,2,0,2,13,0,1
1,4,92,77,4,2,0,6,2,1
1,1,58,53,5,0,0,12,3,1
1,4,123,96,2,0,2,1,2,1
1,2,63,49,0,3,2,12,5,1
1,0,213,113,3,1,1,13,3,1
3,6,158,20,2,3,0,2,2,1
0,9,245,210,0,1,1,6,5,1
1,10,228,199,5,1,2,8,5,1
0,3,65,21,1,2,1,8,1,0
3,9,67,13,1,1,1,8,3,1
3,7,113,29,3,2,1,15,3,0
3,7,292,80,4,2,0,10,2,1
1,10,39,38,2,0,1,9,4,0
0,0,44,34,5,1,1,11,2,0
0,3,186,163,0,1,2,0,3,1
2,9,42,13,5,3,1,9,5,1
0,3,190,117,0,2,2,5,2,1
2,0,130,120,5,3,1,14,4,0
0,7,293,181,1,2,2,3,4,0
1,9,152,8,3,1,1,7,5,0
0,2,163,101,0,2,0,1,5,1
0,0,203,132,3,1,2,7,3,1
0,7,239,177,2,0,1,10,0,0
1,9,140,31,1,1,1,0,2,0
2,1,224,206,0,0,2,9,5,1
2,7,42,17,5,2,1,4,4,0
3,6,218,122,5,3,2,11,2,0
1,6,149,133,3,2,1,5,4,0
1,9,155,25,5,2,2,8,4,1
0,0,65,59,5,0,1,4,1,0
2,3,85,74,4,2,1,15,2,1
1,5,67,2,2,0,0,9,0,0
1,3,229,210,4,2,0,15,2,0
0,9,17,3,0,2,0,8,3,1
3,4,166,40,4,0,2,5,3,0
2,2,216,40,0,1,0,0,5,0
2,9,98,77,1,2,1,6,0,1
3,5,59,16,2,3,2,15,1,0
3,4,223,94,1,3,0,7,0,1
2,2,180,39,4,2,1,6,2,1
3,7,94,33,0,3,1,6,3,1
1,0,22,16,4,2,1,12,0,0
0,10,252,96,3,3,2,0,0,0
1,8,130,62,0,1,2,14,0,0
3,1,280,125,2,3,0,1,1,1
3,10,199,78,2,0,0,7,1,1
2,5,286,23,1,2,2,10,3,1
2,3,156,147,4,2,2,9,1,0
0,0,267,238,2,2,2,15,0,0
0,7,295,114,3,2,2,0,3,1
3,0,263,219,0,2,1,5,5,0
2,0,88,80,4,0,1,1,0,1
2,9,218,181,5,3,0,3,3,1
1,2,186,185,5,2,2,3,0,0
3,2,241,225,2,2,2,0,2,1
3,0,129,47,5,2,1,15,4,0
0,9,194,88,3,1,2,5,3,0
2,4,162,41,2,2,0,14,1,1
0,10,278,235,2,3,0,11,1,1
2,8,270,156,3,2,0,6,1,0
3,7,24,8,5,2,1,3,0,1
3,8,219,125,5,2,0,3,3,1
0,9,262,22,5,1,0,6,2,0
2,6,26,4,4,3,2,14,5,0
0,5,261,131,4,1,2,7,3,0
2,5,17,11,1,2,2,13,0,0
3,4,35,35,3,3,2,10,4,0
1,8,65,53,0,3,2,6,1,1
1,9,208,19,3,3,1,13,1,0
0,9,228,163,1,2,2,0,3,1
0,8,69,24,5,1,0,8,1,1
0,1,151,32,2,0,1,5,0,0
2,7,11,4,0,0,2,9,1,0
3,8,26,14,3,3,0,10,1,0
2,0,160,130,1,2,0,8,1,0
1,7,251,76,4,2,0,13,4,1
1,1,12,12,5,2,0,12,4,0
1,1,24,14,2,2,1,0,4,1
1,3,134,33,1,2,0,13,4,0
1,3,190,40,4,3,2,10,1,1
1,4,214,113,3,0,2,4,3,1
0,0,217,104,3,3,0,1,1,0
2,3,104,101,3,2,0,0,2,0
0,5,67,27,4,2,1,11,5,1
0,8,26,12,5,0,1,0,3,1
1,5,44,43,3,3,2,2,5,1
0,10,64,7,2,0,1,4,0,1
0,4,268,53,5,2,1,3,2,0
1,2,83,66,1,0,2,0,5,0
2,1,222,96,2,1,1,6,0,0
0,6,37,10,2,3,0,2,0,1
0,3,132,27,2,1,1,6,2,1
3,7,105,30,3,0,2,6,2,0
0,0,214,9,3,2,0,4,5,0
1,4,140,131,2,1,1,6,2,1
2,9,143,90,0,0,1,9,3,1
1,9,277,34,5,3,0,5,3,0
1,6,57,32,3,1,0,15,4,0
1,3,213,78,5,2,0,1,2,0
2,10,274,269,5,3,2,4,1,0
3,9,146,104,0,0,2,15,0,1
0,3,248,147,5,1,0,1,5,1
0,8,81,10,3,1,0,14,2,1
3,2,281,110,2,2,0,4,1,1
1,2,193,190,2,0,1,12,5,0
2,2,251,192,5,2,1,9,3,1
1,7,145,25,0,0,1,4,2,1
1,2,153,40,3,0,2,7,4,0
3,3,217,127,3,1,1,9,4,0
1,0,242,37,4,3,1,10,2,0
0,7,190,52,3,1,2,4,4,0
0,8,238,163,5,0,0,8,0,0
0,4,164,92,5,2,1,12,2,1
3,5,69,38,2,0,0,2,1,0
1,10,65,39,0,3,2,10,5,1
2,2,254,77,3,3,0,7,2,1
0,6,230,225,2,0,1,8,3,1
1,10,105,90,1,2,1,1,5,1
0,7,235,63,0,3,2,6,5,0
2,9,144,13,3,0,2,14,2,0
2,7,10,9,4,1,1,14,4,1
0,5,47,19,1,2,0,10,4,1
0,5,110,57,3,2,2,11,2,1
0,2,115,12,3,0,0,15,1,0
1,3,44,5,2,3,0,13,5,0
0,2,57,21,1,3,1,15,5,1
3,1,85,62,3,3,1,13,1,0
1,5,113,104,0,3,1,8,5,1
3,6,45,0,2,1,0,8,2,1
3,8,264,221,5,2,2,10,0,1
0,1,19,9,3,0,1,0,4,0
1,9,195,40,3,0,0,9,5,1
1,8,228,207,4,0,2,8,0,0
3,7,59,35,3,2,2,8,4,1
1,4,221,47,2,1,2,15,3,0
2,3,208,112,2,3,1,12,0,0
3,2,65,65,1,0,2,9,4,1
2,0,204,127,3,3,2,8,1,0
2,9,51,40,3,3,2,14,0,0
3,1,193,79,5,1,1,4,3,0
3,3,167,160,5,2,1,0,2,0
2,9,277,227,5,0,0,2,0,1
0,0,80,18,4,1,0,4,4,1
1,1,289,164,5,1,0,13,1,0
3,4,62,8,1,2,2,7,0,1
0,3,192,50,3,0,2,4,0,0
3,4,183,172,1,2,1,4,4,1
3,1,255,137,1,1,2,3,2,0
1,7,103,78,1,1,2,8,2,0
1,8,162,38,4,0,1,14,4,1
3,4,262,92,4,1,2,7,2,0
0,6,278,159,5,3,2,2,3,1
1,2,244,51,3,2,1,11,0,0
0,0,170,110,5,3,1,1,3,1
3,9,93,89,4,3,0,12,3,1
1,0,188,153,3,0,1,11,1,1
1,9,231,58,3,0,0,7,1,1
0,9,121,85,4,1,0,0,4,0
0,5,189,167,0,2,2,1,0,1
1,9,73,20,2,0,2,4,1,0
3,4,55,15,5,2,1,15,5,0
0,10,299,127,5,3,2,6,4,0
0,6,298,244,3,3,1,7,2,0
2,6,229,172,4,2,0,10,1,1
3,4,153,42,1,0,2,6,5,1
2,3,227,75,1,2,2,15,2,0
1,10,263,97,1,1,1,7,0,1
1,1,32,0,3,1,2,12,5,1
0,2,10,3,0,3,1,6,1,0
1,8,118,54,4,0,2,6,4,1
0,0,59,19,3,1,1,15,0,1
1,4,204,200,0,3,0,13,3,0
0,4,17,16,4,1,0,9,5,1
0,9,299,288,4,0,2,7,5,1
0,3,19,18,3,3,2,7,0,0
3,4,79,24,3,3,1,6,2,1
2,9,217,44,4,1,2,4,2,0
3,1,99,95,1,3,2,8,0,0
2,1,203,68,4,1,0,13,0,1
1,10,142,122,3,0,0,4,0,0
0,7,186,109,4,1,2,13,4,1
1,2,167,129,4,0,0,11,3,0
1,5,96,70,0,1,1,8,2,0
3,8,164,115,3,2,0,11,2,0
0,5,82,38,5,3,1,2,0,1
1,2,206,178,2,3,1,9,2,0
1,1,188,161,2,1,0,6,2,1
1,5,48,17,2,3,1,15,4,0
2,7,179,112,3,0,1,8,0,1
3,10,218,78,0,0,1,8,5,1
1,1,129,45,4,3,0,9,4,0
0,3,117,92,5,3,0,5,1,1
0,8,114,60,3,2,1,4,5,1
0,5,286,73,5,0,2,4,2,0
2,0,161,126,4,0,1,10,4,0
2,5,57,17,4,2,2,5,1,0
0,7,18,16,5,3,0,4,5,0
2,5,153,37,3,3,0,9,1,0
0,4,263,75,1,1,2,15,1,1
2,10,36,7,4,3,0,7,1,0
3,1,285,62,2,2,1,5,3,0
0,9,124,97,3,2,2,3,3,0
2,0,22,2,1,3,0,9,2,1
3,2,262,229,5,2,0,13,1,1
2,10,96,95,1,1,2,2,1,1
3,5,249,49,0,3,2,2,4,1
1,1,22,19,2,2,1,13,4,0
2,6,186,15,2,1,2,2,4,1
2,0,101,16,5,2,0,12,5,1
0,2,287,103,1,0,0,7,2,0
0,6,271,44,4,0,2,12,4,1
0,8,287,222,3,0,0,8,0,1
1,10,275,110,3,0,2,1,1,0
2,3,286,94,1,0,2,15,1,0
0,7,59,24,0,3,2,7,5,1
3,1,33,32,2,0,0,11,1,1
3,4,250,55,1,2,2,8,3,1
2,7,128,3,0,1,0,9,5,1
1,0,151,90,3,3,1,1,1,1
1,6,127,115,1,3,2,3,1,1
0,7,61,5,0,3,2,10,1,0
0,7,51,48,5,3,2,11,2,0
2,3,60,28,4,2,2,14,0,1
0,7,62,9,2,2,2,11,1,0
0,1,169,128,1,3,2,9,3,1
3,10,247,131,3,1,1,14,2,0
1,4,255,68,2,3,1,12,0,1
1,4,89,66,5,3,1,2,2,0
1,6,278,230,4,3,1,15,5,0
1,4,131,9,4,3,1,3,1,0
3,6,211,139,2,3,0,2,0,0
3,9,226,33,2,1,1,14,3,1
1,8,223,188,4,3,0,5,3,0
0,2,35,30,1,1,0,5,3,0
0,2,217,138,0,0,0,14,3,1
2,6,246,21,5,0,1,10,2,1
1,4,283,65,0,3,2,9,1,0
0,8,88,11,2,3,0,12,3,1
1,7,244,144,2,2,2,0,3,0
3,0,220,211,5,3,1,6,4,0
2,6,56,22,5,2,0,11,0,1
0,5,93,59,4,2,1,11,3,0
1,2,264,5,4,2,2,2,3,0
0,7,63,30,4,2,0,12,3,1
2,3,241,141,2,3,2,1,1,1
1,4,185,127,1,3,1,3,1,1
0,10,20,14,3,0,2,2,3,1
1,6,248,100,0,2,1,10,5,0
2,6,185,103,4,1,1,6,4,0
0,2,157,53,5,1,2,14,4,0
1,9,51,3,5,3,1,7,0,1
2,1,297,249,4,2,1,10,1,0
0,7,134,7,1,2,0,14,3,0
0,10,194,12,3,1,1,5,5,1
1,2,27,11,0,2,2,8,4,0
3,0,119,108,1,1,2,8,5,1
3,4,52,46,4,3,1,4,1,1
1,5,44,39,0,0,0,0,4,0
3,8,111,3,5,3,2,5,2,0
3,2,282,95,1,2,1,15,4,0
1,10,252,57,4,1,1,9,4,1
0,10,101,16,1,2,2,12,0,0
1,9,286,207,5,0,1,15,1,0
0,2,27,2,0,1,0,11,4,1
0,9,186,47,4,0,1,11,0,0
0,6,48,24,1,0,1,14,5,1
3,8,165,73,4,2,2,0,5,1
2,1,271,119,3,3,1,14,4,1
1,0,169,149,0,3,0,2,4,0
2,6,297,96,3,3,2,2,5,1
2,0,56,22,1,1,1,10,4,1
3,1,164,136,5,0,1,13,4,0
3,8,105,103,2,3,2,9,3,1
3,10,136,67,4,2,1,12,5,1
0,7,49,18,2,0,0,8,1,0
0,6,246,184,4,2,2,13,3,0
0,3,93,18,2,2,1,13,2,1
0,2,128,5,3,2,0,6,2,0
2,7,38,21,3,3,1,6,3,1
3,2,103,46,1,1,0,11,0,0
3,9,95,84,3,1,0,4,3,0
0,8,290,92,5,0,1,13,5,1
0,1,11,0,1,2,2,3,3,1
2,0,231,230,0,0,2,15,0,1
0,10,286,104,0,1,1,13,0,1
1,8,21,6,2,3,2,15,5,0
3,8,63,24,0,1,2,2,4,0
1,0,292,32,3,0,1,4,2,0
1,1,241,220,5,1,0,3,0,1
0,1,44,39,5,3,2,9,0,0
1,7,142,35,5,2,0,6,0,1
1,10,159,55,1,0,0,12,5,1
1,6,92,34,3,2,2,10,3,0
3,0,286,158,2,3,2,10,1,0
1,5,250,106,1,2,2,13,4,1
2,0,20,15,0,3,2,0,5,1
3,9,256,114,3,0,0,6,2,0
0,7,102,95,2,0,0,8,2,1
2,6,183,15,0,3,0,13,2,0
3,3,23,1,1,2,2,11,1,0
3,1,108,54,2,0,1,4,0,0
3,5,40,33,0,2,1,10,1,1
1,5,54,36,1,3,2,9,4,0
0,5,100,76,4,0,0,10,0,0
0,10,42,8,0,1,1,10,0,1
3,9,58,20,1,1,0,13,4,1
2,0,93,45,1,2,1,9,0,1
3,6,86,0,0,2,2,12,4,1
0,3,142,45,1,2,2,8,4,0
0,6,27,1,4,0,2,11,5,1
1,3,273,122,3,2,2,6,0,1
0,9,262,9,5,2,2,6,5,0
1,1,175,175,2,1,0,0,3,0
0,8,206,181,2,2,1,9,2,0
2,10,262,68,1,1,2,0,5,1
1,8,45,31,5,0,0,5,5,1
0,6,257,82,2,2,2,6,3,0
0,7,212,127,3,0,2,8,0,0
3,7,133,42,2,1,0,14,4,1
2,0,152,136,2,0,2,8,2,1
0,7,101,30,4,2,1,5,3,0
3,10,50,36,0,3,2,3,1,1
1,2,202,94,3,1,1,2,5,1
3,2,188,90,4,3,1,7,3,1
1,10,261,84,4,1,2,15,2,0
3,6,171,91,0,2,2,5,4,0
3,9,128,128,2,1,2,3,0,1
2,10,44,1,5,3,2,6,3,0
1,2,34,4,3,2,2,12,5,0
1,8,168,103,4,1,1,3,4,1
0,7,224,28,4,0,0,3,2,0
1,8,298,232,1,3,0,6,1,0
3,4,264,159,0,1,1,10,3,0
2,2,293,255,1,1,1,0,5,0
2,10,239,83,5,1,1,9,3,0
0,4,149,56,3,0,2,7,5,0
0,9,187,3,2,1,1,8,2,1
3,4,210,29,2,1,2,0,1,1
2,1,75,61,3,1,2,6,2,1
2,10,21,10,3,0,0,14,1,0
0,0,190,96,1,3,0,2,2,1
1,3,81,2,0,3,1,11,2,1
2,6,152,72,3,1,1,15,0,1
3,2,89,47,2,1,1,5,2,1
3,9,68,9,0,1,0,3,4,1
3,8,241,160,2,2,1,1,3,0
1,10,85,25,4,0,0,14,3,1
3,10,110,10,3,3,2,1,0,1
3,2,75,67,1,1,0,7,4,1
0,3,129,41,4,1,2,10,4,1
2,6,80,78,0,2,2,7,2,0
1,1,11,3,5,1,0,15,0,1
3,4,43,24,3,2,0,1,2,0
0,10,182,182,3,1,0,11,1,0
0,4,116,4,5,0,2,6,0,1
2,6,154,121,4,3,0,1,2,0
0,4,162,0,3,1,0,11,2,1
1,0,10,7,1,3,0,6,0,0
2,8,153,131,3,1,2,11,5,0
0,10,179,159,5,1,2,0,2,0
1,5,245,58,1,2,1,13,0,1
1,4,115,14,3,3,2,6,4,1
3,2,34,25,0,0,1,5,3,1
3,1,209,10,5,1,2,15,4,1
3,2,135,87,5,1,2,11,2,0
3,3,217,182,2,2,2,5,5,0
1,7,263,50,4,0,1,9,2,0
2,5,95,8,5,3,0,7,1,0
0,10,182,181,0,3,1,15,2,0
1,1,123,44,3,1,0,0,3,0
1,1,182,26,3,1,2,15,5,0
1,9,152,66,1,2,0,10,3,0
0,1,147,105,2,0,1,6,1,0
0,10,138,112,2,2,0,10,2,0
3,0,125,55,1,1,1,0,2,0
1,0,96,12,1,1,1,13,0,1
2,8,57,1,0,3,1,13,0,1
0,3,262,219,4,3,0,11,2,0
2,8,290,95,4,1,2,0,4,1
0,6,189,173,4,3,0,14,0,1
1,1,225,149,1,3,0,9,3,0
3,8,107,26,1,3,2,0,5,1
2,0,222,173,5,1,1,15,2,0
0,10,119,68,5,2,0,15,3,0
